Names,Representative Number,newnameIdx,itemcategorycode,itemcategoryname,itemcode,itemname,kindcode,kindname,retail_unit,retail_unitsize,productrankcode
부추무침,2068,,,,,,,,,,
부침가루,391,,,,,,,,,,
부침개,3414,,,,,,,,,,
북어,426,187,600,수산물,639,북어,01,황태,[],[],05
북어국,3209,,,,,,,,,,
북어껍질,3208,187,600,수산물,639,북어,01,황태,[],[],05
북어포,427,187,600,수산물,639,북어,01,황태,[],[],05
분유,878,,,,,,,,,,
불고기양념,1458,,,,,,,,,,
불닭볶으면,1974,,,,,,,,,,
불닭소스,1049,,,,,,,,,,
불루베리,1352,,,,,,,,,,
붕장어,430,,,,,,,,,,
브라우니,1781,,,,,,,,,,
브라우니가루,2647,,,,,,,,,,
브로콜리,10,99,200,채소류,280,브로콜리,00,브로콜리(국산),개,1,04
브로콜리가루,2129,99,200,채소류,280,브로콜리,00,브로콜리(국산),개,1,04
브로콜리감자스프,2316,,,,,,,,,,
브리치즈,209,,,,,,,,,,
블랙타이거새우,1784,,,,,,,,,,
